"Name","Id","WorkingSet","Handles","UserName"
"pwsh","14284","565350400","1300","THINKX1-JH\Jeff"
"Memory Compression","3704","408211456","0",
"Code","27124","406667264","712","THINKX1-JH\Jeff"
"pwsh","25688","388554752","1279","THINKX1-JH\Jeff"
"pwsh","14984","349954048","1137","THINKX1-JH\Jeff"
"powershell","23584","282701824","661","THINKX1-JH\Jeff"
"Code","11932","259088384","358","THINKX1-JH\Jeff"
"Code","14972","250855424","640","THINKX1-JH\Jeff"
"Code","20816","225030144","255","THINKX1-JH\Jeff"
"Dropbox","19808","211972096","4389","THINKX1-JH\Jeff"
"SearchHost","11744","207671296","1541","THINKX1-JH\Jeff"
"slack","17900","176017408","523","THINKX1-JH\Jeff"
"OneDrive","188","172855296","2140","THINKX1-JH\Jeff"
"Muse","21484","167952384","1239","THINKX1-JH\Jeff"
"ekrn","2960","146497536","1174",
"explorer","17204","144896000","2729","THINKX1-JH\Jeff"
"PhoneExperienceHost","12668","137625600","1512","THINKX1-JH\Jeff"
